Mean Sales Price of Existing Homes,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,
"Annual and monthly, 1999 to current",,,,,,,,,,,
(Not Seasonally Adjusted),,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,
2019.02,"288,400","308,900","217,600","253,300","400,200",,2.8%,2.4%,3.9%,2.4%,2.6%
2019.03,"297,400","313,200","229,400","262,800","408,400",,2.6%,2.2%,3.3%,2.1%,2.7%
2019.04,"305,000","322,900","238,300","270,400","413,200",,2.4%,3.3%,3.3%,2.5%,1.6%
2019.05,"314,600","333,800","248,400","279,700","420,800",,3.6%,4.2%,4.6%,3.4%,2.8%
2019.06,"321,400","347,400","257,800","284,600","422,600",,3.0%,2.8%,4.8%,3.2%,2.0%
2019.07,"316,800","337,500","253,300","280,000","421,500",,3.0%,-0.4%,5.9%,3.9%,2.6%
2019.08,"314,900","343,700","249,300","275,100","421,500",,3.6%,2.2%,5.8%,4.2%,2.7%
2019.09,"307,500","330,800","239,200","269,500","418,300",,3.9%,3.2%,4.9%,4.4%,3.0%
2019.10,"307,200","328,200","236,400","270,300","421,400",,4.5%,3.5%,4.6%,5.4%,4.6%
2019.11,"308,200","331,900","236,300","269,800","423,400",,4.1%,2.8%,4.1%,4.1%,4.7%
2019.12,"311,000","335,500","236,400","276,200","423,200",,5.9%,5.5%,6.6%,6.1%,5.3%
2020.01,"302,900","336,600","227,200","263,600","416,000",,5.1%,6.4%,3.7%,5.4%,4.7%
2020.02,"305,800","324,900","230,400","272,100","421,800",,6.0%,5.2%,5.9%,7.4%,5.4%
2020.03,"316,100","331,500","246,000","281,100","430,000",,6.3%,5.8%,7.2%,7.0%,5.3%
2020.04,"321,100","342,300","254,800","285,500","428,900",,5.3%,6.0%,6.9%,5.6%,3.8%
2020.05,"317,900","352,100","252,500","278,600","421,200",,1.0%,5.5%,1.7%,-0.4%,0.1%
2020.06,"328,900","357,600","261,300","290,800","435,900",,2.3%,2.9%,1.4%,2.2%,3.1%
2020.07,"338,000","356,200","271,000","302,000","448,200",,6.7%,5.5%,7.0%,7.9%,6.3%
2020.08,"342,300","368,400","274,500","304,000","450,700",,8.7%,7.2%,10.1%,10.5%,6.9%
2020.09,"343,100","371,400","270,900","303,800","457,800",,11.6%,12.3%,13.3%,12.7%,9.4%
2020.10,"344,700","372,800","269,500","307,400","459,300",,12.2%,13.6%,14.0%,13.7%,9.0%
2020.11,"342,800","372,700","266,400","304,600","458,700",,11.2%,12.3%,12.7%,12.9%,8.3%
2020.12,"342,000","376,200","262,400","303,700","457,700",,10.0%,12.1%,11.0%,10.0%,8.2%
