Existing Home Sales,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,
"Monthly, 1999 to current",,,,,,,,,,,,,
(Not Seasonally Adjusted),,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,
2019.02,"311,000","36,000","66,000","143,000","66,000",,-2.5%,0.0%,0.0%,-1.4%,-8.3%,,
2019.03,"400,000","46,000","86,000","182,000","86,000",,-7.8%,-4.2%,-10.4%,-4.7%,-13.1%,,
2019.04,"456,000","53,000","104,000","200,000","99,000",,-0.9%,1.9%,-4.6%,1.5%,-2.9%,,
2019.05,"542,000","66,000","131,000","231,000","114,000",,1.3%,1.5%,0.0%,4.1%,-2.6%,,
2019.06,"528,000","68,000","134,000","218,000","108,000",,-7.4%,-9.3%,-6.9%,-5.2%,-10.7%,,
2019.07,"540,000","71,000","132,000","226,000","111,000",,3.3%,1.4%,2.3%,4.6%,2.8%,,
2019.08,"532,000","73,000","131,000","220,000","108,000",,-1.3%,-3.9%,-2.2%,0.0%,-0.9%,,
2019.09,"450,000","60,000","109,000","188,000","93,000",,6.9%,5.3%,4.8%,8.7%,6.9%,,
2019.10,"462,000","61,000","110,000","193,000","98,000",,3.6%,0.0%,0.9%,6.0%,4.3%,,
2019.11,"404,000","55,000","96,000","170,000","83,000",,-0.5%,-5.2%,-2.0%,0.6%,2.5%,,
2019.12,"434,000","59,000","95,000","192,000","88,000",,15.1%,11.3%,14.5%,16.4%,15.8%,,
2020.01,"317,000","43,000","67,000","140,000","67,000",,11.2%,10.3%,9.8%,13.8%,8.1%,,
2020.02,"335,000","37,000","70,000","155,000","73,000",,7.7%,2.8%,6.1%,8.4%,10.6%,,
2020.03,"416,000","45,000","93,000","191,000","87,000",,4.0%,-2.2%,8.1%,4.9%,1.2%,,
2020.04,"373,000","43,000","94,000","164,000","72,000",,-18.2%,-18.9%,-9.6%,-18.0%,-27.3%,,
2020.05,"372,000","42,000","98,000","163,000","69,000",,-31.4%,-36.4%,-25.2%,-29.4%,-39.5%,,
2020.06,"507,000","53,000","126,000","226,000","102,000",,-4.0%,-22.1%,-6.0%,3.7%,-5.6%,,
2020.07,"597,000","70,000","147,000","259,000","121,000",,10.6%,-1.4%,11.4%,14.6%,9.0%,,
2020.08,"560,000","74,000","137,000","237,000","112,000",,5.3%,1.4%,4.6%,7.7%,3.7%,,
2020.09,"563,000","76,000","135,000","235,000","117,000",,25.1%,26.7%,23.9%,25.0%,25.8%,,
2020.10,"573,000","78,000","138,000","238,000","119,000",,24.0%,27.9%,25.5%,23.3%,21.4%,,
2020.11,"493,000","69,000","115,000","208,000","101,000",,22.0%,25.5%,19.8%,22.4%,21.7%,,
2020.12,"538,000","77,000","118,000","234,000","109,000",,24.0%,30.5%,24.2%,21.9%,23.9%,,
