Existing Single-Family Home Sales,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,
"Annual and monthly, 1989 to current",,,,,,,,,,,,,,,,,
(Seasonally Adjusted Annual Rate),,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,Month over Month % Change,,,,
1999.12,"4,550,000","710,000","1,110,000","1,670,000","1,050,000",,-4.6%,-2.7%,-9.8%,-2.3%,-3.7%,,0.4%,6.0%,-0.9%,-1.2%,0.0%
2000.01,"4,640,000","740,000","1,160,000","1,690,000","1,060,000",,-0.9%,0.0%,-0.9%,-0.6%,-0.9%,,2.0%,4.2%,4.5%,1.2%,1.0%
2000.02,"4,570,000","700,000","1,110,000","1,700,000","1,050,000",,0.2%,-7.9%,0.0%,1.8%,2.9%,,-1.5%,-5.4%,-4.3%,0.6%,-0.9%
2000.03,"4,640,000","710,000","1,140,000","1,700,000","1,070,000",,0.9%,-4.1%,1.8%,0.6%,1.9%,,1.5%,1.4%,2.7%,0.0%,1.9%
2000.04,"4,630,000","710,000","1,130,000","1,720,000","1,070,000",,1.5%,-1.4%,0.9%,4.2%,0.9%,,-0.2%,0.0%,-0.9%,1.2%,0.0%
2000.05,"4,570,000","690,000","1,120,000","1,700,000","1,050,000",,-1.9%,-6.8%,-0.9%,-1.2%,-1.9%,,-1.3%,-2.8%,-0.9%,-1.2%,-1.9%
2000.06,"4,570,000","710,000","1,100,000","1,720,000","1,040,000",,-6.2%,-4.1%,-11.3%,-2.8%,-6.3%,,0.0%,2.9%,-1.8%,1.2%,-1.0%
2000.07,"4,550,000","770,000","1,090,000","1,690,000","1,010,000",,-3.6%,8.5%,-6.8%,-2.9%,-8.2%,,-0.4%,8.5%,-0.9%,-1.7%,-2.9%
2000.08,"4,600,000","710,000","1,110,000","1,700,000","1,070,000",,-2.5%,-10.1%,-5.1%,0.0%,0.9%,,1.1%,-7.8%,1.8%,0.6%,5.9%
2000.09,"4,690,000","720,000","1,130,000","1,720,000","1,110,000",,2.0%,2.9%,1.8%,1.2%,2.8%,,2.0%,1.4%,1.8%,1.2%,3.7%
2000.10,"4,650,000","700,000","1,110,000","1,740,000","1,100,000",,1.5%,-1.4%,-0.9%,3.0%,3.8%,,-0.9%,-2.8%,-1.8%,1.2%,-0.9%
2000.11,"4,740,000","730,000","1,140,000","1,760,000","1,110,000",,4.6%,9.0%,1.8%,4.1%,5.7%,,1.9%,4.3%,2.7%,1.1%,0.9%
2000.12,"4,520,000","690,000","1,090,000","1,670,000","1,070,000",,-0.7%,-2.8%,-1.8%,0.0%,1.9%,,-4.6%,-5.5%,-4.4%,-5.1%,-3.6%
2001.01,"4,550,000","700,000","1,090,000","1,700,000","1,060,000",,-1.9%,-5.4%,-6.0%,0.6%,0.0%,,0.7%,1.4%,0.0%,1.8%,-0.9%
2001.02,"4,660,000","690,000","1,130,000","1,770,000","1,070,000",,2.0%,-1.4%,1.8%,4.1%,1.9%,,2.4%,-1.4%,3.7%,4.1%,0.9%
2001.03,"4,830,000","710,000","1,160,000","1,820,000","1,140,000",,4.1%,0.0%,1.8%,7.1%,6.5%,,3.6%,2.9%,2.7%,2.8%,6.5%
2001.04,"4,730,000","710,000","1,140,000","1,810,000","1,070,000",,2.2%,0.0%,0.9%,5.2%,0.0%,,-2.1%,0.0%,-1.7%,-0.5%,-6.1%
2001.05,"4,680,000","690,000","1,130,000","1,810,000","1,050,000",,2.4%,0.0%,0.9%,6.5%,0.0%,,-1.1%,-2.8%,-0.9%,0.0%,-1.9%
2001.06,"4,820,000","710,000","1,180,000","1,820,000","1,100,000",,5.5%,0.0%,7.3%,5.8%,5.8%,,3.0%,2.9%,4.4%,0.6%,4.8%
2001.07,"4,810,000","720,000","1,170,000","1,810,000","1,110,000",,5.7%,-6.5%,7.3%,7.1%,9.9%,,-0.2%,1.4%,-0.8%,-0.5%,0.9%
2001.08,"4,850,000","760,000","1,160,000","1,840,000","1,090,000",,5.4%,7.0%,4.5%,8.2%,1.9%,,0.8%,5.6%,-0.9%,1.7%,-1.8%
2001.09,"4,630,000","690,000","1,140,000","1,740,000","1,050,000",,-1.3%,-4.2%,0.9%,1.2%,-5.4%,,-4.5%,-9.2%,-1.7%,-5.4%,-3.7%
2001.10,"4,650,000","690,000","1,160,000","1,740,000","1,060,000",,0.0%,-1.4%,4.5%,0.0%,-3.6%,,0.4%,0.0%,1.8%,0.0%,1.0%
2001.11,"4,650,000","690,000","1,180,000","1,770,000","1,010,000",,-1.9%,-5.5%,3.5%,0.6%,-9.0%,,0.0%,0.0%,1.7%,1.7%,-4.7%
2001.12,"4,860,000","710,000","1,220,000","1,820,000","1,090,000",,7.5%,2.9%,11.9%,9.0%,1.9%,,4.5%,2.9%,3.4%,2.8%,7.9%
2002.01,"5,220,000","790,000","1,260,000","1,940,000","1,220,000",,14.7%,12.9%,15.6%,14.1%,15.1%,,7.4%,11.3%,3.3%,6.6%,11.9%
2002.02,"5,200,000","820,000","1,270,000","1,910,000","1,200,000",,11.6%,18.8%,12.4%,7.9%,12.1%,,-0.4%,3.8%,0.8%,-1.5%,-1.6%
2002.03,"4,980,000","730,000","1,240,000","1,860,000","1,160,000",,3.1%,2.8%,6.9%,2.2%,1.8%,,-4.2%,-11.0%,-2.4%,-2.6%,-3.3%
2002.04,"5,000,000","740,000","1,210,000","1,880,000","1,170,000",,5.7%,4.2%,6.1%,3.9%,9.3%,,0.4%,1.4%,-2.4%,1.1%,0.9%
2002.05,"4,970,000","740,000","1,200,000","1,840,000","1,180,000",,6.2%,7.2%,6.2%,1.7%,12.4%,,-0.6%,0.0%,-0.8%,-2.1%,0.9%
2002.06,"4,860,000","720,000","1,180,000","1,840,000","1,110,000",,0.8%,1.4%,0.0%,1.1%,0.9%,,-2.2%,-2.7%,-1.7%,0.0%,-5.9%
2002.07,"4,780,000","690,000","1,180,000","1,810,000","1,100,000",,-0.6%,-4.2%,0.9%,0.0%,-0.9%,,-1.6%,-4.2%,0.0%,-1.6%,-0.9%
2002.08,"4,730,000","700,000","1,160,000","1,790,000","1,080,000",,-2.5%,-7.9%,0.0%,-2.7%,-0.9%,,-1.0%,1.4%,-1.7%,-1.1%,-1.8%
2002.09,"4,870,000","690,000","1,200,000","1,880,000","1,100,000",,5.2%,0.0%,5.3%,8.0%,4.8%,,3.0%,-1.4%,3.4%,5.0%,1.9%
2002.10,"5,020,000","720,000","1,220,000","1,910,000","1,170,000",,8.0%,4.3%,5.2%,9.8%,10.4%,,3.1%,4.3%,1.7%,1.6%,6.4%
2002.11,"5,060,000","740,000","1,260,000","1,890,000","1,170,000",,8.8%,7.2%,6.8%,6.8%,15.8%,,0.8%,2.8%,3.3%,-1.0%,0.0%
2002.12,"5,280,000","730,000","1,320,000","1,990,000","1,240,000",,8.6%,2.8%,8.2%,9.3%,13.8%,,4.3%,-1.4%,4.8%,5.3%,6.0%
2003.01,"5,330,000","800,000","1,250,000","2,050,000","1,230,000",,2.1%,1.3%,-0.8%,5.7%,0.8%,,0.9%,9.6%,-5.3%,3.0%,-0.8%
2003.02,"5,290,000","760,000","1,330,000","1,980,000","1,220,000",,1.7%,-7.3%,4.7%,3.7%,1.7%,,-0.8%,-5.0%,6.4%,-3.4%,-0.8%
2003.03,"5,170,000","730,000","1,270,000","1,980,000","1,190,000",,3.8%,0.0%,2.4%,6.5%,2.6%,,-2.3%,-3.9%,-4.5%,0.0%,-2.5%
2003.04,"5,150,000","720,000","1,260,000","1,960,000","1,210,000",,3.0%,-2.7%,4.1%,4.3%,3.4%,,-0.4%,-1.4%,-0.8%,-1.0%,1.7%
2003.05,"5,240,000","750,000","1,320,000","1,980,000","1,200,000",,5.4%,1.4%,10.0%,7.6%,1.7%,,1.7%,4.2%,4.8%,1.0%,-0.8%
2003.06,"5,240,000","740,000","1,300,000","1,980,000","1,220,000",,7.8%,2.8%,10.2%,7.6%,9.9%,,0.0%,-1.3%,-1.5%,0.0%,1.7%
2003.07,"5,530,000","780,000","1,350,000","2,100,000","1,310,000",,15.7%,13.0%,14.4%,16.0%,19.1%,,5.5%,5.4%,3.8%,6.1%,7.4%
2003.08,"5,760,000","790,000","1,400,000","2,200,000","1,370,000",,21.8%,12.9%,20.7%,22.9%,26.9%,,4.2%,1.3%,3.7%,4.8%,4.6%
2003.09,"5,800,000","800,000","1,400,000","2,220,000","1,380,000",,19.1%,15.9%,16.7%,18.1%,25.5%,,0.7%,1.3%,0.0%,0.9%,0.7%
2003.10,"5,630,000","810,000","1,340,000","2,170,000","1,320,000",,12.2%,12.5%,9.8%,13.6%,12.8%,,-2.9%,1.3%,-4.3%,-2.3%,-4.3%
2003.11,"5,480,000","780,000","1,300,000","2,060,000","1,330,000",,8.3%,5.4%,3.2%,9.0%,13.7%,,-2.7%,-3.7%,-3.0%,-5.1%,0.8%
2003.12,"5,700,000","790,000","1,350,000","2,180,000","1,370,000",,8.0%,8.2%,2.3%,9.5%,10.5%,,4.0%,1.3%,3.8%,5.8%,3.0%
2004.01,"5,510,000","770,000","1,270,000","2,150,000","1,320,000",,3.4%,-3.8%,1.6%,4.9%,7.3%,,-3.3%,-2.5%,-5.9%,-1.4%,-3.6%
2004.02,"5,630,000","800,000","1,300,000","2,180,000","1,350,000",,6.4%,5.3%,-2.3%,10.1%,10.7%,,2.2%,3.9%,2.4%,1.4%,2.3%
2004.03,"5,860,000","820,000","1,360,000","2,250,000","1,430,000",,13.3%,12.3%,7.1%,13.6%,20.2%,,4.1%,2.5%,4.6%,3.2%,5.9%
2004.04,"5,920,000","820,000","1,380,000","2,280,000","1,440,000",,15.0%,13.9%,9.5%,16.3%,19.0%,,1.0%,0.0%,1.5%,1.3%,0.7%
2004.05,"6,030,000","810,000","1,410,000","2,340,000","1,470,000",,15.1%,8.0%,6.8%,18.2%,22.5%,,1.9%,-1.2%,2.2%,2.6%,2.1%
2004.06,"6,090,000","820,000","1,450,000","2,340,000","1,480,000",,16.2%,10.8%,11.5%,18.2%,21.3%,,1.0%,1.2%,2.8%,0.0%,0.7%
2004.07,"6,000,000","820,000","1,400,000","2,350,000","1,430,000",,8.5%,5.1%,3.7%,11.9%,9.2%,,-1.5%,0.0%,-3.4%,0.4%,-3.4%
2004.08,"5,870,000","800,000","1,360,000","2,320,000","1,390,000",,1.9%,1.3%,-2.9%,5.5%,1.5%,,-2.2%,-2.4%,-2.9%,-1.3%,-2.8%
2004.09,"5,880,000","820,000","1,370,000","2,250,000","1,440,000",,1.4%,2.5%,-2.1%,1.4%,4.3%,,0.2%,2.5%,0.7%,-3.0%,3.6%
2004.10,"6,020,000","830,000","1,410,000","2,340,000","1,440,000",,6.9%,2.5%,5.2%,7.8%,9.1%,,2.4%,1.2%,2.9%,4.0%,0.0%
2004.11,"6,110,000","830,000","1,420,000","2,370,000","1,490,000",,11.5%,6.4%,9.2%,15.0%,12.0%,,1.5%,0.0%,0.7%,1.3%,3.5%
2004.12,"6,050,000","850,000","1,380,000","2,370,000","1,450,000",,6.1%,7.6%,2.2%,8.7%,5.8%,,-1.0%,2.4%,-2.8%,0.0%,-2.7%
2005.01,"6,200,000","850,000","1,390,000","2,420,000","1,540,000",,12.5%,10.4%,9.4%,12.6%,16.7%,,2.5%,0.0%,0.7%,2.1%,6.2%
2005.02,"6,030,000","820,000","1,370,000","2,370,000","1,470,000",,7.1%,2.5%,5.4%,8.7%,8.9%,,-2.7%,-3.5%,-1.4%,-2.1%,-4.5%
2005.03,"6,110,000","820,000","1,410,000","2,390,000","1,490,000",,4.3%,0.0%,3.7%,6.2%,4.2%,,1.3%,0.0%,2.9%,0.8%,1.4%
2005.04,"6,230,000","850,000","1,440,000","2,460,000","1,480,000",,5.2%,3.7%,4.3%,7.9%,2.8%,,2.0%,3.7%,2.1%,2.9%,-0.7%
2005.05,"6,180,000","840,000","1,410,000","2,460,000","1,470,000",,2.5%,3.7%,0.0%,5.1%,0.0%,,-0.8%,-1.2%,-2.1%,0.0%,-0.7%
2005.06,"6,250,000","860,000","1,410,000","2,470,000","1,510,000",,2.6%,4.9%,-2.8%,5.6%,2.0%,,1.1%,2.4%,0.0%,0.4%,2.7%
2005.07,"6,240,000","860,000","1,430,000","2,470,000","1,480,000",,4.0%,4.9%,2.1%,5.1%,3.5%,,-0.2%,0.0%,1.4%,0.0%,-2.0%
2005.08,"6,310,000","870,000","1,450,000","2,460,000","1,530,000",,7.5%,8.7%,6.6%,6.0%,10.1%,,1.1%,1.2%,1.4%,-0.4%,3.4%
2005.09,"6,340,000","850,000","1,430,000","2,540,000","1,520,000",,7.8%,3.7%,4.4%,12.9%,5.6%,,0.5%,-2.3%,-1.4%,3.3%,-0.7%
2005.10,"6,210,000","820,000","1,420,000","2,490,000","1,480,000",,3.2%,-1.2%,0.7%,6.4%,2.8%,,-2.1%,-3.5%,-0.7%,-2.0%,-2.6%
2005.11,"6,130,000","810,000","1,400,000","2,510,000","1,410,000",,0.3%,-2.4%,-1.4%,5.9%,-5.4%,,-1.3%,-1.2%,-1.4%,0.8%,-4.7%
2005.12,"5,950,000","800,000","1,360,000","2,460,000","1,330,000",,-1.7%,-5.9%,-1.4%,3.8%,-8.3%,,-2.9%,-1.2%,-2.9%,-2.0%,-5.7%
2006.01,"5,860,000","770,000","1,320,000","2,450,000","1,320,000",,-5.5%,-9.4%,-5.0%,1.2%,-14.3%,,-1.5%,-3.8%,-2.9%,-0.4%,-0.8%
2006.02,"5,980,000","810,000","1,410,000","2,430,000","1,330,000",,-0.8%,-1.2%,2.9%,2.5%,-9.5%,,2.0%,5.2%,6.8%,-0.8%,0.8%
2006.03,"5,990,000","830,000","1,440,000","2,420,000","1,300,000",,-2.0%,1.2%,2.1%,1.3%,-12.8%,,0.2%,2.5%,2.1%,-0.4%,-2.3%
2006.04,"5,870,000","830,000","1,370,000","2,390,000","1,280,000",,-5.8%,-2.4%,-4.9%,-2.8%,-13.5%,,-2.0%,0.0%,-4.9%,-1.2%,-1.5%
2006.05,"5,750,000","790,000","1,330,000","2,390,000","1,240,000",,-7.0%,-6.0%,-5.7%,-2.8%,-15.6%,,-2.0%,-4.8%,-2.9%,0.0%,-3.1%
2006.06,"5,700,000","800,000","1,320,000","2,340,000","1,240,000",,-8.8%,-7.0%,-6.4%,-5.3%,-17.9%,,-0.9%,1.3%,-0.8%,-2.1%,0.0%
2006.07,"5,530,000","740,000","1,270,000","2,320,000","1,200,000",,-11.4%,-14.0%,-11.2%,-6.1%,-18.9%,,-3.0%,-7.5%,-3.8%,-0.9%,-3.2%
2006.08,"5,560,000","770,000","1,270,000","2,340,000","1,180,000",,-11.9%,-11.5%,-12.4%,-4.9%,-22.9%,,0.5%,4.1%,0.0%,0.9%,-1.7%
2006.09,"5,510,000","770,000","1,250,000","2,330,000","1,160,000",,-13.1%,-9.4%,-12.6%,-8.3%,-23.7%,,-0.9%,0.0%,-1.6%,-0.4%,-1.7%
2006.10,"5,590,000","790,000","1,290,000","2,320,000","1,190,000",,-10.0%,-3.7%,-9.2%,-6.8%,-19.6%,,1.5%,2.6%,3.2%,-0.4%,2.6%
2006.11,"5,560,000","790,000","1,280,000","2,300,000","1,190,000",,-9.3%,-2.5%,-8.6%,-8.4%,-15.6%,,-0.5%,0.0%,-0.8%,-0.9%,0.0%
2006.12,"5,620,000","820,000","1,330,000","2,300,000","1,170,000",,-5.5%,2.5%,-2.2%,-6.5%,-12.0%,,1.1%,3.8%,3.9%,0.0%,-1.7%
2007.01,"5,020,000","660,000","1,210,000","2,060,000","1,090,000",,-14.3%,-14.3%,-8.3%,-15.9%,-17.4%,,-10.7%,-19.5%,-9.0%,-10.4%,-6.8%
2007.02,"5,080,000","720,000","1,220,000","2,050,000","1,090,000",,-15.1%,-11.1%,-13.5%,-15.6%,-18.0%,,1.2%,9.1%,0.8%,-0.5%,0.0%
2007.03,"4,780,000","650,000","1,150,000","1,970,000","1,010,000",,-20.2%,-21.7%,-20.1%,-18.6%,-22.3%,,-5.9%,-9.7%,-5.7%,-3.9%,-7.3%
2007.04,"4,620,000","580,000","1,140,000","1,920,000","980,000",,-21.3%,-30.1%,-16.8%,-19.7%,-23.4%,,-3.3%,-10.8%,-0.9%,-2.5%,-3.0%
2007.05,"4,590,000","600,000","1,130,000","1,890,000","970,000",,-20.2%,-24.1%,-15.0%,-20.9%,-21.8%,,-0.6%,3.4%,-0.9%,-1.6%,-1.0%
2007.06,"4,490,000","590,000","1,120,000","1,860,000","920,000",,-21.2%,-26.3%,-15.2%,-20.5%,-25.8%,,-2.2%,-1.7%,-0.9%,-1.6%,-5.2%
2007.07,"4,440,000","580,000","1,110,000","1,830,000","920,000",,-19.7%,-21.6%,-12.6%,-21.1%,-23.3%,,-1.1%,-1.7%,-0.9%,-1.6%,0.0%
2007.08,"4,280,000","580,000","1,060,000","1,780,000","860,000",,-23.0%,-24.7%,-16.5%,-23.9%,-27.1%,,-3.6%,0.0%,-4.5%,-2.7%,-6.5%
2007.09,"3,990,000","530,000","1,010,000","1,680,000","770,000",,-27.6%,-31.2%,-19.2%,-27.9%,-33.6%,,-6.8%,-8.6%,-4.7%,-5.6%,-10.5%
2007.10,"3,910,000","540,000","1,000,000","1,640,000","730,000",,-30.1%,-31.6%,-22.5%,-29.3%,-38.7%,,-2.0%,1.9%,-1.0%,-2.4%,-5.2%
2007.11,"3,940,000","530,000","980,000","1,650,000","780,000",,-29.1%,-32.9%,-23.4%,-28.3%,-34.5%,,0.8%,-1.9%,-2.0%,0.6%,6.8%
2007.12,"3,880,000","510,000","970,000","1,610,000","790,000",,-31.0%,-37.8%,-27.1%,-30.0%,-32.5%,,-1.5%,-3.8%,-1.0%,-2.4%,1.3%
2008.01,"3,710,000","490,000","950,000","1,530,000","740,000",,-26.1%,-25.8%,-21.5%,-25.7%,-32.1%,,-4.4%,-3.9%,-2.1%,-5.0%,-6.3%
2008.02,"3,640,000","490,000","910,000","1,490,000","750,000",,-28.3%,-31.9%,-25.4%,-27.3%,-31.2%,,-1.9%,0.0%,-4.2%,-2.6%,1.4%
2008.03,"3,700,000","510,000","920,000","1,490,000","780,000",,-22.6%,-21.5%,-20.0%,-24.4%,-22.8%,,1.6%,4.1%,1.1%,0.0%,4.0%
2008.04,"3,660,000","490,000","880,000","1,480,000","810,000",,-20.8%,-15.5%,-22.8%,-22.9%,-17.3%,,-1.1%,-3.9%,-4.3%,-0.7%,3.8%
2008.05,"3,680,000","480,000","890,000","1,480,000","830,000",,-19.8%,-20.0%,-21.2%,-21.7%,-14.4%,,0.5%,-2.0%,1.1%,0.0%,2.5%
2008.06,"3,630,000","470,000","860,000","1,430,000","870,000",,-19.2%,-20.3%,-23.2%,-23.1%,-5.4%,,-1.4%,-2.1%,-3.4%,-3.4%,4.8%
2008.07,"3,690,000","480,000","870,000","1,410,000","930,000",,-16.9%,-17.2%,-21.6%,-23.0%,1.1%,,1.7%,2.1%,1.2%,-1.4%,6.9%
2008.08,"3,740,000","470,000","910,000","1,460,000","900,000",,-12.6%,-19.0%,-14.2%,-18.0%,4.7%,,1.4%,-2.1%,4.6%,3.5%,-3.2%
2008.09,"3,800,000","470,000","920,000","1,420,000","990,000",,-4.8%,-11.3%,-8.9%,-15.5%,28.6%,,1.6%,0.0%,1.1%,-2.7%,10.0%
2008.10,"3,630,000","460,000","840,000","1,380,000","950,000",,-7.2%,-14.8%,-16.0%,-15.9%,30.1%,,-4.5%,-2.1%,-8.7%,-2.8%,-4.0%
2008.11,"3,390,000","420,000","800,000","1,270,000","900,000",,-14.0%,-20.8%,-18.4%,-23.0%,15.4%,,-6.6%,-8.7%,-4.8%,-8.0%,-5.3%
2008.12,"3,590,000","430,000","850,000","1,360,000","950,000",,-7.5%,-15.7%,-12.4%,-15.5%,20.3%,,5.9%,2.4%,6.3%,7.1%,5.6%
2009.01,"3,460,000","390,000","790,000","1,290,000","990,000",,-6.7%,-20.4%,-16.8%,-15.7%,33.8%,,-3.6%,-9.3%,-7.1%,-5.1%,4.2%
2009.02,"3,570,000","420,000","830,000","1,340,000","980,000",,-1.9%,-14.3%,-8.8%,-10.1%,30.7%,,3.2%,7.7%,5.1%,3.9%,-1.0%
2009.03,"3,480,000","400,000","820,000","1,320,000","940,000",,-5.9%,-21.6%,-10.9%,-11.4%,20.5%,,-2.5%,-4.8%,-1.2%,-1.5%,-4.1%
2009.04,"3,510,000","420,000","810,000","1,330,000","950,000",,-4.1%,-14.3%,-8.0%,-10.1%,17.3%,,0.9%,5.0%,-1.2%,0.8%,1.1%
2009.05,"3,580,000","440,000","850,000","1,340,000","950,000",,-2.7%,-8.3%,-4.5%,-9.5%,14.5%,,2.0%,4.8%,4.9%,0.8%,0.0%
2009.06,"3,660,000","470,000","850,000","1,370,000","970,000",,0.8%,0.0%,-1.2%,-4.2%,11.5%,,2.2%,6.8%,0.0%,2.2%,2.1%
2009.07,"3,890,000","490,000","950,000","1,470,000","980,000",,5.4%,2.1%,9.2%,4.3%,5.4%,,6.3%,4.3%,11.8%,7.3%,1.0%
2009.08,"3,960,000","510,000","940,000","1,490,000","1,020,000",,5.9%,8.5%,3.3%,2.1%,13.3%,,1.8%,4.1%,-1.1%,1.4%,4.1%
2009.09,"4,120,000","530,000","990,000","1,540,000","1,060,000",,8.4%,12.8%,7.6%,8.5%,7.1%,,4.0%,3.9%,5.3%,3.4%,3.9%
2009.10,"4,460,000","550,000","1,100,000","1,710,000","1,100,000",,22.9%,19.6%,31.0%,23.9%,15.8%,,8.3%,3.8%,11.1%,11.0%,3.8%
2009.11,"4,830,000","620,000","1,230,000","1,800,000","1,180,000",,42.5%,47.6%,53.8%,41.7%,31.1%,,8.3%,12.7%,11.8%,5.3%,7.3%
2009.12,"3,900,000","480,000","870,000","1,500,000","1,050,000",,8.6%,11.6%,2.4%,10.3%,10.5%,,-19.3%,-22.6%,-29.3%,-16.7%,-11.0%
2010.01,"3,700,000","450,000","820,000","1,400,000","1,030,000",,6.9%,15.4%,3.8%,8.5%,4.0%,,-5.1%,-6.3%,-5.7%,-6.7%,-1.9%
2010.02,"3,740,000","470,000","880,000","1,410,000","980,000",,4.8%,11.9%,6.0%,5.2%,0.0%,,1.1%,4.4%,7.3%,0.7%,-4.9%
2010.03,"3,990,000","500,000","960,000","1,510,000","1,020,000",,14.7%,25.0%,17.1%,14.4%,8.5%,,6.7%,6.4%,9.1%,7.1%,4.1%
2010.04,"4,280,000","590,000","1,060,000","1,620,000","1,010,000",,21.9%,40.5%,30.9%,21.8%,6.3%,,7.3%,18.0%,10.4%,7.3%,-1.0%
2010.05,"4,340,000","510,000","1,060,000","1,690,000","1,080,000",,21.2%,15.9%,24.7%,26.1%,13.7%,,1.4%,-13.6%,0.0%,4.3%,6.9%
2010.06,"3,950,000","520,000","950,000","1,510,000","970,000",,7.9%,10.6%,11.8%,10.2%,0.0%,,-9.0%,2.0%,-10.4%,-10.7%,-10.2%
2010.07,"3,060,000","370,000","670,000","1,210,000","810,000",,-21.3%,-24.5%,-29.5%,-17.7%,-17.3%,,-22.5%,-28.8%,-29.5%,-19.9%,-16.5%
2010.08,"3,250,000","410,000","710,000","1,270,000","860,000",,-17.9%,-19.6%,-24.5%,-14.8%,-15.7%,,6.2%,10.8%,6.0%,5.0%,6.2%
2010.09,"3,420,000","420,000","770,000","1,330,000","900,000",,-17.0%,-20.8%,-22.2%,-13.6%,-15.1%,,5.2%,2.4%,8.5%,4.7%,4.7%
2010.10,"3,400,000","440,000","750,000","1,320,000","890,000",,-23.8%,-20.0%,-31.8%,-22.8%,-19.1%,,-0.6%,4.8%,-2.6%,-0.8%,-1.1%
2010.11,"3,560,000","440,000","810,000","1,370,000","940,000",,-26.3%,-29.0%,-34.1%,-23.9%,-20.3%,,4.7%,0.0%,8.0%,3.8%,5.6%
2010.12,"3,770,000","460,000","840,000","1,450,000","1,020,000",,-3.3%,-4.2%,-3.4%,-3.3%,-2.9%,,5.9%,4.5%,3.7%,5.8%,8.5%
2011.01,"3,870,000","450,000","870,000","1,470,000","1,080,000",,4.6%,0.0%,6.1%,5.0%,4.9%,,2.7%,-2.2%,3.6%,1.4%,5.9%
2011.02,"3,670,000","440,000","840,000","1,400,000","990,000",,-1.9%,-6.4%,-4.5%,-0.7%,1.0%,,-5.2%,-2.2%,-3.4%,-4.8%,-8.3%
2011.03,"3,750,000","460,000","820,000","1,460,000","1,010,000",,-6.0%,-8.0%,-14.6%,-3.3%,-1.0%,,2.2%,4.5%,-2.4%,4.3%,2.0%
2011.04,"3,690,000","430,000","850,000","1,450,000","960,000",,-13.8%,-27.1%,-19.8%,-10.5%,-5.0%,,-1.6%,-6.5%,3.7%,-0.7%,-5.0%
2011.05,"3,660,000","440,000","830,000","1,420,000","970,000",,-15.7%,-13.7%,-21.7%,-16.0%,-10.2%,,-0.8%,2.3%,-2.4%,-2.1%,1.0%
2011.06,"3,760,000","440,000","850,000","1,460,000","1,010,000",,-4.8%,-15.4%,-10.5%,-3.3%,4.1%,,2.7%,0.0%,2.4%,2.8%,4.1%
2011.07,"3,710,000","450,000","850,000","1,450,000","960,000",,21.2%,21.6%,26.9%,19.8%,18.5%,,-1.3%,2.3%,0.0%,-0.7%,-5.0%
2011.08,"3,880,000","450,000","890,000","1,500,000","1,040,000",,19.4%,9.8%,25.4%,18.1%,20.9%,,4.6%,0.0%,4.7%,3.4%,8.3%
2011.09,"3,840,000","460,000","880,000","1,490,000","1,010,000",,12.3%,9.5%,14.3%,12.0%,12.2%,,-1.0%,2.2%,-1.1%,-0.7%,-2.9%
2011.10,"3,870,000","440,000","890,000","1,530,000","1,010,000",,13.8%,0.0%,18.7%,15.9%,13.5%,,0.8%,-4.3%,1.1%,2.7%,0.0%
2011.11,"3,930,000","470,000","900,000","1,530,000","1,030,000",,10.4%,6.8%,11.1%,11.7%,9.6%,,1.6%,6.8%,1.1%,0.0%,2.0%
2011.12,"3,870,000","470,000","910,000","1,490,000","1,000,000",,2.7%,2.2%,8.3%,2.8%,-2.0%,,-1.5%,0.0%,1.1%,-2.6%,-2.9%
2012.01,"3,970,000","460,000","930,000","1,500,000","1,080,000",,2.6%,2.2%,6.9%,2.0%,0.0%,,2.6%,-2.1%,2.2%,0.7%,8.0%
2012.02,"4,070,000","490,000","980,000","1,550,000","1,050,000",,10.9%,11.4%,16.7%,10.7%,6.1%,,2.5%,6.5%,5.4%,3.3%,-2.8%
2012.03,"4,020,000","500,000","960,000","1,540,000","1,020,000",,7.2%,8.7%,17.1%,5.5%,1.0%,,-1.2%,2.0%,-2.0%,-0.6%,-2.9%
2012.04,"4,080,000","510,000","990,000","1,550,000","1,030,000",,10.6%,18.6%,16.5%,6.9%,7.3%,,1.5%,2.0%,3.1%,0.6%,1.0%
2012.05,"4,090,000","500,000","990,000","1,580,000","1,020,000",,11.7%,13.6%,19.3%,11.3%,5.2%,,0.2%,-2.0%,0.0%,1.9%,-1.0%
2012.06,"3,980,000","470,000","980,000","1,550,000","980,000",,5.9%,6.8%,15.3%,6.2%,-3.0%,,-2.7%,-6.0%,-1.0%,-1.9%,-3.9%
2012.07,"4,020,000","490,000","980,000","1,570,000","980,000",,8.4%,8.9%,15.3%,8.3%,2.1%,,1.0%,4.3%,0.0%,1.3%,0.0%
